provider,giro
A&C ELECTRICIDAD LIMITADA,INSTALACIONES ELECTRICAS
ABS CHILE LIMITADA,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRICOLAS
ACENOR ACEROS DEL NORTE S.A.,INDUSTRIAS BASICAS DE HIERRO Y ACERO
ADDVISE SPA,"COMERC.INSUMOS PARA NUTRICION ANIMAL Y VEGETAL, ELAB ALIMENT ANIMALES"
ADMIN. DE SUPERMERCADOS EXPRESS LIMITADA,GRANDES ESTABLECIMIENTOS-VENTA DE ALIM.
ADMIN. DE SUPERMERCADOS HIPER LIMITADA,GRANDES ESTABLECIMIENTOS-VENTA DE ALIM.
ADMINISTRADORA DE VENTAS AL DETALLE LTDA,VENTA DE COMBUSTIBLES
AGRICOLA E INVERSIONES LOS COIHUES SPA,PRESTACION DE SERVICIOS AGRICOLAS
AGRICOLA LAS LOMAS LIMITADA,AGRICOLA
AGRICOLA WEBER HUBER LIMITADA,CRIA DE GANADO BOVINO PARA VENTA Y PRODUCCION LECHERA
AGRICOLA Y GANADERA EMERALD LIMITADA,CRIA DE GANADO PRODUCCION LECHE Y CARNE
AGRICOLA Y TRANSPORTES TERRA SPA,SERVICIOS AGRICOLAS Y TRANSPORTE DE CARGA
AGRO SERVICIOS NAVARRETE SPA,SERVICIO AGRICOLAS CULTIVO DE TRIGO
AGROCOMERCIAL CONARO LIMITADA,ARRI.DE VEHIC.DE CARG.Y PASAJ.ASES FOREST AGRIC.INDUST.AGRICOLA
AGROCOMERCIAL IANSA S.A.,AGROINDUSTRIA
AGROFORESTAL Y JARDINES DEL SUR SPA,REP Y MANTEC MAQ AGRICOLA Y FOREST VENTA REPUESTOS Y ACCES MAQUIN
AGROMAP SPA,OBRAS INGENIERIA Y RIEGO. AGRIMENSURA.AGRIC.ARRENDAT.INSUMOS AGRICOLAS
AGROPERFIL SPA,BÚSQUEDA Y SELECCIÓN DE CAPITAL HUMANO
AGRÍCOLA J-S-E LIMITADA,ACTIVIDADES APOYO AGRICULTURA
AGRÍCOLA RIBERAS DEL SAUCE SPA,AGRICOLA Y PRESTACION SERVICIOS AGRICOLAS
AINILEBU SPA,Venta al por menor de Libros y Revistas
ALBERTO JESUS LARA GUZMAN,SERVICIOS TECNICOS ELECTRICOS - OBRAS MENORES EN CONSTRUCCION
ALEJANDRO MARCELO DEL PRADO MONTORY,ESTACIÓN DE SERVICIO
ALEJANDRO RICARDO CARRASCO AGUILAR,SUB CONTRATISTA EN OBRAS MENORES
ALEX PATRICIO CARRILLO VERA,INGENIERO COMERCIAL//CAFETERIA Y GELATERIA
ALICIA GUILLERMINA MARTINEZ CARMONA,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES"
ANDRES ALONSO PRIETO SEGUEL,ARRIENDO RETROEXCAVADORA NIVELACIONES Y EXCAVACIONES- TRANSPORTES
ANTILLANCA SPA,"AGRICOLA, SERVICIOS Y ASESORIAS FINANCIERAS Y ECONOMICAS,CRIA DE GANADO PRODUCCI"
ANTONIO CASTILLO S.A.,IMPORTACIÓN Y VENTA DE REPUESTOS PARA VEHÍCULOS
ARIDOS VICAT SUR SPA,VENTA DE ARIDOS
ARIEL ENRIQUE BELLO GARCIA,"TRANSPORTE PASAJEROS,TRANSPORTE CARGA POR CARRETERA Y AGRICULTOR"
ARIEL OMAR AZOCAR AGUAYO,COMPRA Y VENTA DE REPUESTOS
ARRENDADORA DE VEHICULOS SOCIEDAD ANONIMA,ARRIENDO COMERCIALIZACION MANTENCION Y REPARACION VEHICULOS AUTOMOTRICES
ARRIAGADA COMPANY SPA,"FAB. DE PROD. METALICOS, FERRETERIA , ALQUILER, IMPORTACIONES."
ASESORIAS E INVERSIONES A Y G SPA,EMPRESA DE ASESORIA-CONSULTORIA FINANCIERA Y DE APOYO AL GIRO
ASESORIAS IMPROVE LIMITADA,"INGENIERIA, PROYECTOS, ASESORIAS, CAPACITACION"
ASESORIAS PROTEUS DISRUPTION LIMITADA,"P.SERV. PROFESIONALES DE ASESORIA Y CONSULTORIA, ECONOMICA Y FINAN."
AUDISOFT SPA,SERVICIOS INTEGRALES DE INFORMATICA
AUDITAX SPA,ASESORIAS CONTABLES Y TRIBUTARIAS
AUSTRAL MEDIA LAB SPA,"VENTA DE INSUMOS CLINICOS,INVESTIGACION Y DESARROLLO, ASESORAMIENTO"
AUTOMOTRIZ CORDILLERA S.A.,VENTA AL POR MAYOR DE VEHICULOS AUTOMOTORES
AUTOMOTRIZ P Y C SPA,SERVICIOS DE REPARACION AUTOMOTRIZ
AUTOMOTRIZ SALFA SUR LIMITADA,VENTA AL POR MAYOR DE VEHICULOS AUTOMOTORES EXCEPTO MOTOCICLETAS
AUTOMOTRIZ SERVIMAQ SPA,VENTA AL POR MAYOR DE VEHICULOS AUTOMOTORES
AUTOMOTRIZ TECNOCID LIMITADA,COMPRA VENTA VEHÍCULOS NUEVOS Y USADOS
AWÜA CONSULTORES SPA,ASESORÍAS Y SERVICIOS LEGALES
BANCO BICE,BANCO COMERCIAL
BANCO DE CHILE,Banco Comercial
BENEDICTO NOLBERTO GUTIERREZ RIVERA,PRESTACION DE SERVICIOS AGRICOLAS
BETHEL ELECTROMECANICA SPA,"ASE MAN GENE TERRE MAQUI GENERA,CONST MENOR, VTA REP ACCE AUT Y COMIS"
BIMA CHILE SPA,"FABRICACIÓN DE HERRAMIENTAS AGROPECUARIAS, PRODUCCIÓN DE HORTALIZAS, IMPORTACIÓN"
BIOGENESIS ANIMAL HEALTH SPA,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRICOLAS
BOBINADOS INDUSTRIALES LONCOMILLA SPA,REPARACION DE EQUIPO ELECTRICO (EXCEPTO REPARACION DE EQUIPO Y ENSERES
BORKERT Y COMPANIA LIMITADA,"ASE,CAP,ATEN MED.VET.Y COMERC.DE MEDIC.E INSUMOS MEDICOS Y AGRICOLA"
BOTTAI S.A.,PREFABRICADOS DE HORMIGON
CAMILO EDUARDO CABEZA FERNANDEZ,SERVICIO DE MANTENCION DE MAQUINARIA Y VEHICULOS - CONSTRUCCION
CANAL BAJO SPA,ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS
CARLOS IVAN MEZA HERMOSILLA,SERVICIOS DE VULCANIZACION SOLDADURA VENTA DE ACC.Y NEOMATICOS
CARLOS JOAQUIN CAMPOS GONZALEZ,"VENTAS DE ARTICULOS DE FERRETERIA, MAQUINARIAS, MOTORES Y REPUESTOS.-"
CARLOS SEGUNDO GUZMAN CATALAN,"TRANSPORTE ESCOLAR,TRABAJADORES,TURISTAS,CULTIVO CHOROS,SERV.AGRICOLAS"
CENCOSUD RETAIL S.A.,Comercial
CENTRO DE COPIADO DIGITAL SPA,"SERVICIO FOTOCOPIA, IMPRENTA Y LIBRERIA"
CESAR ANDRES YANEZ SOTO,CONTRATISTA EN OBRAS MENORES - ARRIENDO DE VEHICULOS
CHILEXPRESS S.A.,"TRANSP. DE CARGA,SERV. DE RECAUD.,ENVIO VALIJAS, CORREOS Y TELECOM. MULTIP"
CHIPAX SPA,INVERSIONES Y ASESORIA INFORMATICA Y FINANCIERA
CHRISTIAN ALEJANDRO AGUILERA SANZANA,CORTA MADERA/ASERRADERO Y BARRACA
CIA DE SEGUROS DE VIDA CONSORCIO NACIONAL DE SEGUROS SA,Seguros de Vida
CIA DE SEGUROS GENERALES CONSORCIO NACIONAL DE SEGUROS SA,Seguros Generales
CIA ELECTRICA OSORNO S A,Distribución de Energía Eléctrica
CLA TURISMO SPA,SOCIEDAD DE TURISMO Y RECREACIÓN PARA EL BIENESTAR SOCIAL
COAGRA S.A.,AGROINDUSTRIA COMERCIALIZACIÓN DE PRODUCTOS E INSUMOS AGRÍCOLAS REPARACIÓN MANTE
COMER DE COMBUSTIBLES M&D LTD,VENTA AL POR MENOR DE COMBUSTIBLES PARA AUTOMOTORAS
COMERCIAL AIKETEN LIMITADA,ESTACION
COMERCIAL AMAR HERMANOS Y COMPANIA LIMITADA,SUPERMERCADO
COMERCIAL AMAR HNOS. Y CIA. LTDA,SUPERMERCADOS
COMERCIAL CERES SPA,COMERCIALIZACION DE MAQUINARIA AGRICOLA Y CONSTRUC
COMERCIAL CLIMENT SPA,"Venta al por mayor de Materiales de Construccion,"
COMERCIAL COOPREL S.A.,GRANDES TIENDAS
COMERCIAL COPIAPO LTDA,VENTA DE MAQUINARIAS Y REPUESTOS AGRICOLAS
COMERCIAL DASEFE LIMITADA,ESTACION
COMERCIAL E INDUSTRIAL RENE FUCHSLOCHER,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
COMERCIAL E INVERSIONES SERVICID LTDA.,SERVICIO DE REPARACION DE VEHICULOS MOTORIZADOS
COMERCIAL HARCHA SPA,FERRETERIA
COMERCIAL K SPA,"Importacion, Exportacion y distribucion de revestimientos Ceramicos"
COMERCIAL MAIFA LTDA.,HOTEL
COMERCIAL MUNDO TRANSFER LTDA,Imp. Comerc.de prod Textiles y Ar Pub; Imp. Graficas. Vtas de Maquinas
COMERCIAL NAHUM NAHUM JACOB Y OTROS LIMITADA,VENTA DE REPUESTOS Y ARTICULOS DE SEGURIDAD VENTA Y RECARGA EXTINTORES
COMERCIAL NAVEA LIMITADA,ESTACION DE SERVICIO
COMERCIAL PRESEP LIMITADA,VENTA AL POR MENOR Y AL POR MAYOR DE ENSERES DOMESTICOS.
COMERCIAL RIO BUENO SPA,VENTA AL POR MENOR DE COMBUSTIBLES PARA AUTOMOTORAS
COMERCIAL RODAPLUS SPA,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES"
COMERCIAL SERVIFEED SPA,"SERVICIO MANTEN., MONT Y AUTOMATIZACION DE EQUIPOS INDUST. EN TERRENO"
COMERCIAL SHOOF INTERNATIONAL CHILE LTDA,Comerializacion Importacion y Exportacio
COMERCIAL SOCOEPA SOCIEDAD ANONIMA,GRANDES TIENDAS-VENTA DE MOTOCICLETAS-TELEFONIA MOVIL CELULAR-ART. FERRETERIA.
COMERCIAL SUR ENERGY SPA,VENTA AL POR MENOR DE COMBUSTIBLES PARA AUTOMOTORAS
COMERCIAL TCS SPA,VTA MAT DE CONSTRUCCION Y ART FERRETERIACOMPRA Y VENTA DE ARIDOS
COMERCIAL V A M OFFICES SUPPLIES LIMITADA,IMPORTACION EXPORTACION COMPRA-VENTA EQUIPOS E INSUMOS DE OFICINA SERVICIO TECN
COMERCIAL V&P LIMITADA,COMERCIALIZACION E INST.DE EQUIPOS CONTRA INCEND. Y SEGURID.EN TERRENO
COMERCIAL VICAN SPA,VENTA DE MUEBLES Y ARTÍCULOS PARA EL HOGAR
COMERCIAL VICTORIA SPA,ESTACION DE SERVICIOS
COMERCIAL VIMAR SPA,VENTA DE ARTICULOS DE FERRETERIA Y MATERIALES DE CONSTRUCCION
COMERCIAL Y DISTRIBUIDORA GOMAC LTDA,"Venta de articulos de goma, accesorios, Art Ferreteria -Construcción"
COMERCIAL Y SERVICIOS FUTRONO LIMITADA,ESTACION DE SERVICIO
COMERCIAL Y SERVICIOS J Y M LIMITADA,ESTACION
COMERCIAL Y SERVICIOS PALMILLA LTDA,ESTACION DE SERVICIO
COMERCIAL Y SERVICIOS VIGU LIMITADA,ESTACION
COMERCIAL Y SERVICIOS VYV LIMITADA,VTA REPUESTOS ACEITES LUBRIC SERV MECÁNICA AUTOMOVIL Y MÁQ EN GENERAL
COMERCIALIZADORA CARTIZ SPA,ESTACION DE SERVICIO Y DISTRIBUCION DE COMBUSTIBLE
COMERCIALIZADORA DE ART DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE LIMITADA,DISTRIBUCION DE ARTICULOS DE SEGURIDAD
COMERCIALIZADORA DE NEUMATICOS BACON LIMITADA,RECAUCHADO Y RENOVACION DE CUBIERTAS DE CAUCHO
COMERCIALIZADORA DE REPUESTOS ALEJANDRA XIMENA MUÑOZ BALTRA E.I.R.L.,COMPRA Y VENTAS DE INSUMOS Y REPUESTOS DE VEHICULOS MOTORIZADOS
COMERCIALIZADORA MIRAFLORES LIMITADA,"COMPRA, VENTA E INSTALACION DE PARABRISAS"
COMERCIALIZADORA RBM SPA,"VENTA REPUESTOS DE VEHICULO, HERRAMIENTAS, LUBRICANTES EN GENERAL"
COMERCIALIZADORA RIEGO BUENO LIMITADA,VENTA Y SERVICIOS DE INSTALACION RIEGO CLIMATIZACION CALEFACCION ERNC
COMERCIALIZADORA S Y S SPA,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHICULOS AUTOMOTORES"
COMPAÑÍA AGROPECUARIA COPEVAL S.A.,"Compraventa de insumos y maquinaria agricola,combustibles,Exportaciones y Servic"
COMUNIDAD SUCESION ADOLFO CARMONA MALDONADO,"TALLER TORNO MECANICO,VENTAS DE GASES Y SOLDADURAS INDUSTRIALES,"
CONFECCIONES Y ARRIENDO DE MAQUINARIA JACQUELINNE REYES EMPRESA INDIVI,"CONFECCION,CORDONERIA,ALQUIER DE MAQ, PREPA Y MOVIMIENTO DE TERRENO"
CONSTRUCCIONES LARA & LARA LIMITADA,ESTRUCTURAS METALICAS Y CARPINTERIA EN GENERAL
CONSTRUCCIONES Y PRESTACIÓN DE SERVICIOS VICENTE DIOCARES E.I.R.L.,CONTRATISTA-ALQUILER MAQUINARIA-VENTA LENA Y OTROS-ACT.FORESTAL
CONSTRUCCIÓN Y ASESORÍAS FORESTALES VOLCÁN PUNTIAGUDO LIMITADA,CONSTRUCCION TALA Y PODA EN ALTURA.RETIRO DESECHO ARBORIOS ROCE
CONSTRUCTORA DSL SPA,CONSTRUCCIONES EN OBRAS MENORES -TRANSPORTE DE CARGA -ARRIENDO MAQ.
CONSTRUCTORA RAUL ERNESTO PALMA RISOPATRON E.I.R.L.,OBRAS MENORES EN CONSTRUCCION
COOP RURAL ELECTRICA RIO BUENO LIMITADA,Cooperativa Rural Electrica
COOPERATIVA AGRICOLA LECHERA STGO.,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRICOLAS
COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV."
COOPERATIVA AGRICOLA Y LECHERA DE LA UNI,FABR.Y DIST.PROD.LACTEOS VTAS.INSUMOS AG
COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC
COOPERATIVA ELECTRICA PAILLACO LIMITADA,DISTRIBUCION DE ENERGIA ELECTRICA
COOPERATIVA RURAL ELECT.R.BUENO LTDA.,DISTRIBUIDORA DE ENERGIA ELECTRICA
COOPRINSEM,ESTACION DE SERVICIO
COPEC S.A.,"Distribuidora de Combustibles, Servicio de Carga Eléctrica y Exportación"
COVEPA SPA,"Comercializacion de productos veterinarios, agricolas, maquinarias, ferreterias,"
CRISTIAN MIGUEL MATAMALA NAVARRO,TRANSPORTE DE CARGA POR CARRETERA
CRUZ Y CIA,VENTA PROD AUTOMOTRICES
CRUZ Y CIA. LTDA,VENTA DE PRODUCTOS AUTOMOTRICES
CUADRIL SPA,"RESTAURANT, BAR, PROCESAMIENTO DE ALIMENTOS"
CUIDATUVACA SPA,CRIA DE GANADO BOVINO PARA LA PRODUCCION LECHERA
CVD REMOLQUES SPA,FABRICACION REPARACION COMERCIALIZACION REMOLQUES Y ACOPLADOS
DANIEL PATRICIO CASTRO ASCENCIO,"TALLER SOLDADURA,CONSTRUCCIONES EN GENERAL,TRANSPORTE DE CARGA"
DANIEL VILLAR Y CIA LTDA,ESTACION
DANIELA ALEJANDRA FUCHSLOCHER NEUMANN,VENTA DE CUADROS Y ARTESANIA. TALLER DE PINTURA
DAP DUCASSE DISEÑO LTDA.,DIST. DE PAVIMENTOS
DATA CROM COMPUTACION LIMITADA,"COMERCIO Y DISTRIBUCION DE EQUIPOS, ACCESORIOS E INSUMOS COMPUTACIONALES Y DE OF"
DAVID ISAIAS MARDONES YANEZ,CONTRATISTA EN OBRA MENORES AGRICOLAS Y FORESTAL
DECORSWEET SPA,DECORACIÓN E INSTALACION DE PAPELES MURALES. OBRAS MENORES
DELFIN AROS ESTRADA,TRANSPORTE DE CARGA Y AGRICULTOR ARRENDATARIO
DERCOMAQ S.P.A.,VENTA AL POR MAYOR DE VEHICULOS (IMPORT.
DERIVA SPA,ACTIVIDADES DE PAISAJISMO Y MATENCION DE AREAS VERDES
DIFOR CHILE S.A.,"SS.DE REPARACION DE AUTOMOVILES, COMPRA-VENTA DE VEHICULOS NUEVOS Y USADOS"
DIRECTV CHILE TELEVISIÃ³N LIMITADA,Servicio de Television Satelital
DISTRIBUIDORA COMERCIAL P Y G LIMITADA,ESTACION DE SERVICIO
DISTRIBUIDORA DE COMBUSTIBLES ARAUCANIA,ESTACION
DISTRIBUIDORA DE GAS MALON SPA,VENTA Y DISTRIBUCION DE GAS-TRANSPORTE
DISTRIBUIDORA ENTRETECHO SPA,VENTA AL POR MENOR DE COMBUSTIBLES PARA AUTOMOTORES
DISTRIBUIDORA Y COMERCIALIZADORA MUNDIAL SPA,BANQUET. Y VTA COMID PREP PASO PANAD LAVADO VEHIC ESTACIONAMIENTO
DORIS IVONNE CASTILLO KANTER,Ferretería
DOÑA SOFIA SPA,SUPERMERCADO
DULAC FUTRONO SPA,"ARRIENDO CABAÑAS Y CAMPING, SERV.HOTELERIA, CAFETERIA Y SALON DE TE"
EASY RETAIL S.A.,Comercial
EDGARDO EDMUNDO MANCILLA CARRION,TRANSPORTE DE CARGA POR CARRETERA
EDGE SPA,"Transp. de Carga, Com. y Exp. de muebles y lámparas."
ELCIRA CABEZA MENENDEZ,SUPERMERCADO Y RESTAURANTE
ELECTRIDOM SPA,INSTALACIONES ELÉCTRICAS DOMICILIARIAS E INDUSTRIALES - CONSTRUCCIONES
ELECTROCOM S.A.,VENTA DE MATERIALES ELECTRICOS Y CONSTRUCCION
ELECTROSOL ENCENDIDOS SPA,"SS. ELECTRIC. Y ELECTRÓNICA AUTOMIZ, VTA DE REP. ARREINDO MAQUINARIA"
ELIER HOMERO REVILLARD GAYOSO,MOTELES VTAS ART.FERRETERIA Y MAT.DE CONSTR.-JUGOS NATURALES-TORTILLAS
EMPRESA COMERCIAL BARRIENTOS BARRA LTDA.,Ferretería
EMPRESA DE TRANSPORTES VARMONTT LIMITADA,"TRANSPORTE DE CARGA POR CARRETERA, DIST. Y COMERC. DE COMBUSTIBLES"
EMPRESA NACIONAL DE TELECOMUNICACIONES S.A.,Telecomunicaciones
EMPRESAS BIOSUR SPA,AGRICOLA
EMPRESAS DE CORREOS DE CHILE,Servicios Postales Nacionales e Internacionales
EMVI INGENIERÍA Y SOLUCIONES INDUSTRIALES SPA,INGENIERÍA Y SOLUCIONES INDUSTRIALES
ENGLISH TRAINING SPA,CLASES DE INGLÉS A EMPRESAS Y PERSONAS
ENRIQUE RICARDO SCHMIDT ROJAS,"COMPRA VENTA Y ARRIENDO DE MOTOS, REPUESTOS, ACCESORIOS, PUBLICIDAD, SERVICIOS Y"
ENTEL PCS TELECOMUNICACIONES S.A.,Telecomunicaciones
ENTRE RIEGOS DEL SUR SPA,"VENTA AL POR MAYOR DE MAQUINARIA, HERRAMIENTAS, EQUIPO Y MATERIALES N."
ERWIN RAMIRO AGUILEF PINUER,"SERVICIOS DE INSTALACIONES ELÉCTRICAS, DE GASFITERÍA Y CONSTRUIÒN"
ESMAX DISTRIBUCION SPA,"VENTA AL POR MAYOR DE COMBUSTIBLES SOLIDOS, LIQUIDOS Y GASEOSOS Y PRODUCTOS CO"
ESMAX RED LIMITADA,Venta de Combustible; Confites; Cigarrillos; Bebidas; Otros Prod; Almacenes Medi
EST. DE SERVICIO PAOLA USLAR M. E.I.R.L.,"Estacion de Servicios, Comercializadora de Combustibles y Lubricantes, Minimarke"
ESTACION DE SERVICIOS BULNES LIMITADA,ESTACION
ESTACIONES DE SERV. PAOLA USLAR MOLINA E.I.R.L.,VENTA AL POR MENOR DE COMBUSTIBLES PARA VEHICULOS AUTOMOTORES EN COMERCIOS ESPEC
ESTACIONES DE SERVICIO PAOLA USLAR MOLINA E.I.R.L.,SERVICENTRO
ESTEBAN HIGINIO VERA CARDENAS,"REPUESTOS, ACCESORIOS Y LUBRICANTES - TAXI BASICO - FERRETERIA"
EXTINT0RES ALFA VALDIVIA SPA,VENTA Y RECARGA DE EXTINTORES - CAPACITACION
FABRICACIONES WINSUR SPA,"VENTA, FABRICACIÓN E INSTALACIÓN DE VENTANAS Y PRODUCTOS PVC/ALUMINIO"
FALABELLA RETAIL S.A.,GRANDES TIENDAS
FERIA REMEHUE LTDA.,"CORRETAJE DE GANADO, AGRICOLA, PROPIEDADES, FERRETERIA Y VETERINARIA E INSUMOS"
FEROSOR AGRICOLA S.A.,COMERCIALIZADORA DE INSUMOS AGRICOLAS
FERRETERIA BULNES SPA,VENTA AL POR MENOR Y MAYOR DE ARTICULOS DE FERRETERIA
FERRETERIA HESS Y BUSCHMANN SPA,FERRETERIA
FERRETERIAS WEITZLER SOCIEDAD ANONIMA,"MATERIALES DE CONSTRUCCION, FERRETERIAS, ALMACENES DE PINTURAS, BARNICES"
FERRETODO SPA,VENTA DE ARTÍCULOS DE FERRETERÍA
FRANCISCO ALEJANDRO ARRIAGADA NAHUELPAN,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES EN TERRENO
FRIGORIFICO DE OSORNO S.A.,FRIGORIFICO-MATADERO
FULL PORTON SPA,Venta Materiales Construcción - Obras Menores
FUNDACIÓN DE INSTRUCCIÓN AGRÍCOLA ADOLFO MATTHEI,Enseñanza Superior e Instituto Profesional
GABRIEL ALEJANDRO CASTILLO JOHANSEN,PRODUCTORA DE EVENTOS
GALLAGHER CHILE SPA,"Importacion Exportacion y Comercializacion de Maquinarias, Repuestos e Insumos A"
GASTRONOMIA ACHORATE SPA,"BAR RESTAURANTE, SALON DE EVENTOS"
GASTRONOMICA PARRAGUEZ Y ASOCIADOS SPA,"SERVICIOS GASTRONOMICOS, BANQUETERIA Y EVENTOS"
GATICA MARTÍNEZ SPA,"SER. DE MOV. DE TIERRA , ARRIENDO DE MAQUINARIA."
GEA FARM TECHNOLOGIES OSORNO LTDA.,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL"
GEO PARTNER SPA,EXCAVACIONES MOVIMIENTO TIERRA Y PREP TERRENOS
GESTIÓN AMBIENTAL ECOGEST SPA,gestion ambiental
GONBAR SPA,SERVICIOS AGRICOLAS
GUARDA SPA,ALQUILER DE MAQUINARIA PESADA
GUILLERMO ENRIQUE RIEDEL MARTINEZ,"SERVICIOS AGRICOLAS,AGRICOLA,COMERCIALIZACION DE PRODUCTOS AGRICOLAS"
GUSTAVO ALONSO VALENZUELA CORNEJO,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
H2 ASESORIAS Y SERVICIOS SPA,ASESORIAS AGRICOLAS
HAKA INDUSTRIAL SPA,COMERCIALIZADORA Y ARRIENDO DE HERRAMIENTAS Y MAQUINARIAS
HDI SEGUROS S.A.,Compañias de Seguros
HECTOR ADRIAN VALENZUELA PAREDES,ASERRADERO PORTATIL MADERAS Y COMERC/PRODUCTOS FORESTALES Y MADERAS
HECTOR IGNACIO PUSCHEL RUPAILAF,SERVICIO HIDRAULICO ELECTR /OBR MENORES/MOVTO DE TIERRAS/TRANSPORTES D
HECTOR PATRICIO RIVERA BURGOS,SERV MECANICOS A TERRENO Y REPARACION DE BOMBAS INYECTORAS
HECTOR RAUL MANCILLA LOPEZ,"TRANSPORTE DE CARGA,AGRICULTOR"
HGS DAIRY SOLUTIONS SPA,"INSTALACION,MANTENCION,REPARACION MAQUINARIA AGROPECUARIA,FORESTAL"
HIDROFLEXIBLES EIRL,ING. DE MANT. HIDRAULICA Y NEUMATICA Y VTA DE INSUMOS
HIDROTATTERSALL S.A.,"DiseNo, Construccion, Instalacion, Mantencion y Venta de e"
HOTELERA MDS CHILLÁN S.A.,HOTELES
HOTELES DIRECTOR LTDA.,ADMINISTRACION HOTELERIA Y TURISMO
HSC SISTEMAS HIDRICOS SPA,COMERCIALIZADORA DE MATERIALES HIDRAULICOS RIEGO Y PARA PISCINA
HSV SPA,"CULTIVO, COMPRA Y VENTA DE ALIMENTOS AGRICOLAS Y TERAPIAS NATURALES."
HYK MANTENIMIENTO MAKINARÍA AGRÍCOLA SPA,CONTRATISTA EN OBRAS MENORES
HÁBITOS Y SISTEMAS SPA,ENSEÑANZA Y CAPACITACION EN METODOLOGIAS DE VIDA SALUDABLE
IANSAGRO S.A.,AGROINDUSTRIA
ILOP S A,"ART. DE LIBRERIA, ESCRITORIO Y OFICINA"
