provider,giro
IMPORTADORA ELADIO TAZBAZ AZAR LIMITADA,"IMPORTADORA Y COMERCIALIZADORA DE NEUMATICOS NUEVOS Y RECAUCHADOS, REPUESTOS, EQ"
IMPORTADORA REDBIKER S LIMITADA,"VENTA PIEZAS Y ACCES. MOTOCIC., VENTA DE MOTOS - ROPA DE TRABAJO"
IMPORTADORA SOMAGEL SPA,"IMP Y EXP, Y COMER DE MAQUI E INSUMOS PRODUC PARA LA IND ALIMENTICIA"
IMPORTADORA Y EXPORTADORA LASER IMAGING CHILE SPA,IMPORTADORA
INDUSTRIA RECUPERADORA DE NEUMATICOS SAC,RECAUCHADO Y RENOVACION DE CUBIERTAS DE CAUCHO
INDUSTRIAL RIEGO SPA,OB.MENORES EN CONST.ELECT.RIEGOY PURINES.MEC.INDUS.Y AUTOM EN TERRENO
INGENIERIA Y CONSTRUCCION ELIMAQ LIMITADA,INGENIERIA Y CONSTRUCCION- COMPRA VTA. MAQ. Y EQUIPOS NUEVOS Y USADOS
INGRID JIMENA VELOSO GUZMAN,SERVICIOS AGRICOLAS COMPRA Y VENTAS DE PRODUCTOS AGRICOLAS
INMOBILIARIA Y HOTELERA PETTRA S.A,Actividades Hoteleras
INSTALACIÓN Y SERVICIOS DE BOMBAS DE POZO AQUAOSORNO SPA,"SERV.MONT.DE BOMBAS DE AGUA,OBRAS MENORES,VENTA ART.FERRET.Y MAT.CONST"
INVERSIONES DEL RANCO LIMITADA,VENTA REPARACION Y ARRIENDO DE MAQUINARIA AGRICOLA Y FORESTAL
INVERSIONES DEL RANCO SPA,VENTA REPARACION Y ARRIENDO DE MAQUINARIA AGRICOLA Y FORESTAL
INVERSIONES ENEX S.A.,EST. SERV.-SUPERM.-REST.-VTA. CIGARR.-ASESOR.-SOC. INVERS.
INVERSIONES LAS QUEMAS SPA,VENTA Y DISTRIBUCION DE GAS LICUADO
INVERSIONES Y ASESORIA BARCA SPA 3103944,Venta al por menor de combustible para automotoras
IVAN RUDY CANCINO DIAZ,"RECTIF.DE MOTORES,MAESTRANZA Y REPUESTOS"
JAIME ANDRES RIOS HUENULEF,VENTAS REPUESTOS Y ACCESORIOS PARA VEHICULOS-VENTAS DE GOMAS
JAIME HERNAN PAILLACHEO CALFULLANCA,TRANSPORTE DE CARGA POR CARRTERA
JAIME ORLANDO RIOS CHACON,TRANSPORTE DE CARGA POR CARRETERA
JAVIER ARIEL SILVA VERA,TRANSPORTE DE CARGA Y PRESTACION DE SERVICIOS
JOEL LOBO BELLO,CERRAJERIA
JOHN MARCELO CARRILLO SOLDAN,SERV. DE MANTENCION DE MAQ. E IMPLEM. AGRIC. SOLDADURAS INSTAL.ELECTRI
JORGE GUTIERREZ VARGAS,CONTRATISTA OBRAS MENORES
JORGE HECTOR KIESSLING PINUER,"AGRICOLA, PRESTACION DE SERVICIOS AGRICOLAS"
JORGEN HORACIO VEGA AGUILA,OBRAS MENORES EN CONSTUCCION VENDEDOR COMISIONISTA
JS NEUMÁTICOS SPA,COMPRA Y VENTA DE NEUMÁTICOS
JUAN ANGEL ANIBAL VERGARA OBANDO,TRANSPORTE DE CARGA POR CARRETERA / SERVICIOS CONDUCTOR PROFESIONAL
JUAN CARLOS MARTINEZ Y CIA LTDA,ESTACION
JULIA IGNACIA FUENTES FLORES,SUB. GAS/PROVISIONES/CARNICERIA/CONF./EXP CERVEZAS/PENSION/AGRICULTOR
KALEUCHE SPA,COMERCIALIZACION DE PRODUCTOS DE CUERO
KARIM KLETT DIEZ,LIBRERIA ARTICULOS DE OFICINA REGALOS JUGUETERIA
KAUDAT SPA,"TRANSPORTE DE CARGA, SERVICIOS INFORMATICOS, GIROS NACIONALES E INTERNACIONALES"
KAUFMANN S.A. VEHÍCULOS MOTORIZADOS,"SERVICIO TECNICO Y TALLER, MANTEN.Y REPARACIONES"
LABORATORIOS Y SERVICIOS VETERINARIOS VALDIVIA LTDA,LABORATORIO Y SERVICIOS VETERINARIOS
LAS ACHIRAS SPA,ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS
LATAM AIRLINES GROUP SA,LATAM AIRLINES GROUP SA
LEONEL IVAN OJEDA VASQUEZ COMERCIALIZACION DE ARTICULOS DE ESCRITORIO Y OFICINA E I R L,LIBRERIA VENTA DE LIBROS VENTAS AL POR MAYOR DE MAQUINAS Y EQUIPOS DE OFICINA Y
LGP BOMBAS Y SERVICIOS SPA,INSTALACION DE BOMBAS HIDRAULICAS A DOMICILIO
LIDIA ANGELICA SANHUEZA FUENTES,COMPRAVENTA MAQUINARIAS SERVICIO TECNICO
LOS MAGNIFICOS SPA,VENTA AL POR MAYOR Y MENOR DE ARTICULOS DE FERRETERIA
LUIS ANTONIO TORRES JARAMILLO,TRANSPORTE DE CARGA POR CARRETERA Y ACT. COMPLEMENTARIAS DEL GIRO
MADERAS DE EXPORTACION DOS S.A,VENTA DE MADERA - ASERRADERO
MADERAS GUERRA Y COMPANIA LIMITADA,"EXPL DE BOSQUES,VTA DE MADERAS,FABR.PIEZAS CARPIN,VTA MAT.DE CONSTRUCC"
MADERAS LACOSTE SPA,COMERCIALIZ. DE MADERAS EN BRUTO Y ELABORADAS Y TRANSPORTE DE CARGA
MAGDIEL AMALEC MONTECINOS SAN MARTIN,CONSTRUCCION EN OBRAS MENORES USO RESIDENCIAL
MALLAS PROTEKTA LIMITADA,MALLAS PROTEKTA LIMITADA
MANANTIAL S.A,Manufactura
MANTENCION INDUSTRIAL DEL SUR LIMITADA,"MANTENCION,ASEO Y LIMPIEZA DE INDUSTRIAS,LECHERIAS,SILOS,INST.IND.Y CO"
MANUFACTURA DE TELAS SPA,"FABRICACIÓN DE SOLUCIONES EN TELAS DE PVC, MANTENIMIENTO DE VARIOS"
MARCELO ALEJANDRO GUZMAN CATALAN,TRANSPORTE DE CARGA POR CARRETERA
MARIA JOSE GARCIA DE CECA LATUZ,RESTAURANT - ARTESANIAS- VENTAS DE PRODUCTOS CARNICOS - PESCADOS
MARIO DANIEL RODRIGUEZ ASENCIO,OBRAS MENORES EN CONSTRUCC GASFITERIA E INSTALACION ESTRUCT METALICAS
MARIO NICOLAS SANCHEZ SANTANA,CONTRAT EN CONSTRUCC Y ELECTRICIDAD INGEN ELECTRI ASES Y ESTUDIOS INGE
MARS AGRICOLA SPA,CRIA DE GANADO PARA LA PRODUCCION DE LECHE
MARTINEZ Y VALDIVIESO S.A,"VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRICOLAS,FUMIGACIONES,DESTRUCC. DE PLAGAS"
MARYUN SEGURIDAD INDUSTRIAL SPA,VENTAS DE PRODUCTOS DE SEGURIDAD INDUSTRIAL Y ARTICULOS DE OFICINA
MASTER THERMIC SPA,"SERVICIOS DE CLIMATIZACIÓN, INSTALACIONES ELÉCTRICAS AIRE ACONDICIONAD"
MAURICIO SEPULVEDA GUZMAN MAESTRANZA E.I.R.L.,"FABRICA ARTICULOS METALICOS Y REPARACION MAQ , AGROPECUARIA Y FORESTAL"
MERCADOLIBRE CHILE LTDA,OTRAS ACTIVIDADES DE VENTA AL POR MENOR EN COMERCIOS NO ESPECIALIZADOS N.C.P.
MERY Y COMPAÑIA LIMITADA,Importadora Exportadora y Comercializacion de Accesorios Telefonicos Electronico
MIGUEL ANGEL ARRIAGADA INAYADO,VENTA E INSTALACIONES DE REPUESTOS Y ACCESORIOS PARA VEHICULOS
MINERVA RUTH ARELLANO VASQUEZ,AGRICULTOR- COMIDA RAPIDA- BAZAR
MIRTHA LEONOR CASTILLO KANTER,"MENAJE PAQUETERIA, ROPA RECICLADA Y VENTA AL POR MENOR DE UTILES DE AS"
MOLINA MANNS SPA,SERVICIOS MÉDICOS VETERINARIOS
MONTAJES Y CONSTRUCCIONES MANCILLA Y FERNANDEZ LIMITADA,"FABRIC Y CONSTRUCC.MONTAJES IND.,TRANS.CARGA POR CARRETERA Y SS.GRUA"
MOUNTAIN CREATIVE SPA,"Agencia de Viaje, Turismo y Marketing; Comerc. de Artículos Deportivos"
MULTIMOTOS OSORNO SPA,SERVICIOS MECANICOS A DOMICILIO DE MOTOCICLETAS
NESTOR JAIME OPAZO CONCHA,"TRANSPORTE POR CARRETERA, AGRICOLA Y GANADERA"
NETSKY SPA,SERV COMPUTACIO. ASES.INFORMATICA PROVEED INTERNET-ARRIENDO EQUIPOS
NOE ALEJANDRO FOITZICK REHL,"TRAN DE CARGA, LIMP FOSAS, ARR MAQ, MANEJO RESIDUO, ARR BANOS QUIMICOS"
ONE GARAGE SPA,"VENTA DE REPUESTOS, MANTENCIÓN, REPARACIÓN VEHÍCULOS AUTOMOTORES"
OREGON CHEM GROUP SPA,Venta al por menor de otros productos en comercios especializados n.c.p.
OREGON CONSULTING SPA,"SERVICIOS DE CONSULTORÍA EN GESTIÓN, FINANZAS Y ADMINISTRACIÓN GENERAL"
ORLANDO BERTIN SANDOVAL,TRANSPORTE DE CARGA POR CARRETERA
ORLANDO RICARDO BERTIN MONSALVE,TRANSPORTE DE CARGA
OSCAR EDUARDO SOTO VEJAR,OBRAS MENORES EN CONSTRUCCION
PABLO ANDRES REYES SILVA,ARRIENDO DE MAQUINARIAS - TRANSPORTE
PATRICIO SANTIAGO CAREY BRIONES,ESTACION
PCS,Telecomunicaciones
PERSONAL COMPUTER FACTORY S.A.,Ventas e importacion articulos computacionales
PILAUCO VIEJO SPA,VENTA AL POR MENOR DE COMBUSTIBLE PARA AUTOMOTORES
PINTURAS BARENDS SPA,VENTA Y DISTRIBUCION DE PINTURAS-HERRAMIENTAS Y ARTIC. DE FERRETERIA
PRESTACIONES DE SERVICIOS AGRICOLAS EL SIERVO LIMITADA,PRESTACION DE SERVICIOS AGRICOLAS
PROCARNE COMERCIAL S.A.,"Importacion, Exportacion y Comercializacion"
PROVEEDORES INTEGRALES DEL SUR S.A.,"COMPRA, VENTA DE ARTICULOS DE OFICINA Y LIBRERIA"
PUELCHE LOS RIOS SOCIEDAD POR ACCIONES,VENTA AL POR MAYOR Y DETALLE DE ARTICULOS DE FERRETERIA HIDRICA
PURIFICADORA DE AGUA ALEJANDRO SALAZAR RIVERA E.I.R.L.,"VENTA, ENVASADO Y DISTRIBUCIÓN DE AGUA PURIFICADA"
QUIMILAB HT S.A.,VENTA DE COLORANTES
RAFAEL ANDRES BERTIN DELGADO,COMP. Y VTA. DE GANADO TRANSPORTE DE CARGA ING. CIVIL EN OBRAS CIVIL
REALE CHILE SEGUROS GENERALES S.A.,PLANES DE SEGUROS GENERALES
RENDIC HERMANOS S.A.,"GRANDES ESTABLECIMIENTOS (VENTA DE ALIMENTOS), HIPERMERCADOS"
RENT A CAR Y GRUAS VIVE SPA,ARRIENDO DE VEHICULOS Y SERVICIOS DE GRUAS
REPUESTOS BHC SPA,VENTA DE REPUESTOS Y ACCESORIOS PARA VEHICULOS
REVISIONES LOS LAGOS LTDA.,REVISIONES TECNICAS
RICARDO FRANCISCO WULFF MULLER,FERRETERIA
RICARDO GERMAN OSWALD BUCHNER,LUBRICENTRO-SUBDISTRIBUIDOR LIPIGAS-VTA MATERIAS PRIMAS AGRICOLA
ROAGRO SPA,"MANT Y REP VEHICULOS -CAMIONES Y MAQUINARIA EN TERRRENO, VTA REPUESTO"
ROBERTO RENÉ RODRIGUEZ ARANCIBIA MONTAJES ELECTRICOS E INDUSTRIALES.,Instalaciones Electricas
ROCK RIVER LABORATORY LIMITADA,LABORATORIO DE ANALISIS Y SERVICIOS
ROSA ELVIRA SOLIS GUARDA,"REP MANTEN DE VEHIC VTA REP NUEVOS , USADOS ,VIDRIOS,ALUM,PVC ACCES"
RUTA DE LOS RIOS SOCIEDAD CONCESIONARIA S.A.,Concesionario de Peaje
"RUTA DEL MAIPO SOCIEDAD CONCESIONARIA, S.A.","Construcción, Conservación y Explotación de Obra Pública Fiscal"
SABOR DE DOS MUNDOS SPA,SUMINISTRO DE COMIDAS POR ENCARGO (SERVICIOS DE BANQUETERIA)
SALINAS Y FABRES S.A.,"VENTA DE MAQUINARIAS, VEHÍCULOS, REPUESTOS, SERVICIO TÉCNICO."
SAN BLAS FERTILIZACION SPA,SERVICIOS AGRICOLAS CON MAQUINARIAS
SANDRA PAULINA VALLADARES RIOS,REPARAC/MANTENCION MAQUINAS / EQUIPOS AGRIC./ FORESTAL/VEHICULOS AUTOM
SANO - NUTRICION ANIMAL MODERNA SPA,Importación y Comercialización de alimentos para animales
SANTANDER - CHILE,Banco Comercial
SELLO DE RECICLAJE MI GRAN CHILE SPA,CERTIFICACION DE PROCEDIMIENTOS DE MANEJO DE RESIDUOS
SERGIO FABIAN RODRIGUEZ DELGADO,TRANSPORTE DE CARGA POR CARRETERA - FLETES
SERGIO GUILLERMO LOEBEL PUSCHEL,"REPARACION DE BOMBAS, COMPRESORES, SISTEMAS HIDRAULICOS, VALVULAS Y AR"
SERVICENTRO DEL SUR LIMITADA,"VENTA AL POR MENOR DE COMBUSTIBLES, PARA VEHICULOS AUTOMOTORES."
SERVICIO AGRICOLA Y GANADERO,GIRO INSTITUCIONAL
SERVICIOS AGRICOLAS CORPAL SPA,SERVICIOS AGRICOLAS
SERVICIOS AGRICOLAS FELIPE JAVIER GONZALEZ ZAMBRANO E.I.R.L.,"ASESORIAS EN PREVENCION, ARRIENDO DE MAQUINARIA AGRICOLA SIN OPERADOR"
SERVICIOS AGRICOLAS MECANIZADOS SPA,SERVICIOS DE CORTE Y ENFARDADO DE FORRAJE
SERVICIOS AGRICOLAS OSORNO SPA,"SERVICIOS AGRICOLAS,COSECHA, SIEMBRA"
SERVICIOS AGRICOLAS SCHUCK SPA,SERVICIOS DE FUMIGACION
SERVICIOS BERGSTRÖM LIMITADA,"ROTURACION, SIEMBRAS, RECOLEC, EMPACADO, TRILLA , OTROS SERVICIOS AGRICOLAS"
SERVICIOS DE MANTENCIÓN DOMICILIARIA NONTUELA SPA,SERVICIOS DE REPARACIÓN Y MANTENCIONES DOMICILIARIAS
SERVICIOS EL MAITEN LIMITADA,ARRIENDO DE MAQUINARIA Y VENTA DE ARIDOS
SERVICIOS INTEGRALES EDUARDO GUERRERO SPA,OBRAS E INSTALACIONES MENORES DE CONSTRUCCIÓN A DOMICILIO
SERVICIOS PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL JACQUELINE FU,CONSULTORÍA POR PROFESIONALES EN SEGURIDAD Y SALUD OCUPACIONAL
SERVICIOS PUELCHE SPA,OBRAS MENORES ESTRUCTURAS Y RECUBRIMIENTOS PLÁSTICOS
SERVICIOS SINERGIA AUSTRAL SPA,"VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCION, ARTICULOS DE FERRETE"
SERVICIOS TECNICOS DE CAPACITACION VICTOR HERMINIO MIRANDA HERNANDEZ E,PRESTACION DE SERVICIOS DE CAPACITACION
SERVICIOS VITAP SPA,"T.DE CARGA, VENTA DE GANADO Y VENTA DE FRUTAS Y VERDURAS."
SERVICIOS Y SOLUCIONES LINKEDTIC SPA,SERVICIOS DE ASESORIAS INFORMATICAS
"SERVICIOS, COMERCIAL, AGRICOLA Y FORESTAL MORALES OPITZ SPA","TRANS. CARGA, COMERCIAL Y SERVICIOS EMPRESAS Y AGRICULTURA."
SERVIGEN LTDA,LABORATORIO VETERINARIO
SERVIMEC SPA,MANTENCION Y REPARACION DE MAQUINARIA AGRICOLA Y VEHICULOS MOTORIZADOS
SERVIVUL SPA,TALLER VULCANIZACION VTA DE NEUMATICOS- R. DE VEHICULOS Y MAT. CONST.
SHERWIN WILLIAMS CHILE S A,VENTA AL POR MENOR DE ART DE FERRETERIA Y MATERIALES DE CONSTRUC
SILVIA FRANCISCA CASTILLO PARDO,TRANSPORTE DE CARGA - SERVICIOS DE PICADURIA DE LEÑA
SILVOAGROPECUARIO YERKO VERA CAMPOS EMPRESA INDIVIDUAL DE RESPONSABILI,"CULTIVOS AGRÍCOLAS, CRÍA Y CORRETAJE DE GANADO, ACTIVIDADES VENTA LEÑA"
SMRCHILE LIMITADA,"ART. VESTIR, ASEO, MAT. FERRETERIA/CONSTRUCCION, C. PLAGAS, CONTRATIST"
SOC AGRICOLA GANADERA Y FORESTAL SANTA FE LTDA,CRIA DE GANADO BOVINO PARA LA PRODUCCIN LECHERA
SOC COMERCIAL AGRO-TRUST LTDA,COM.PROD.E INS.AGR.-ASES.Y SERV.AGR.-COM.DE GANADO-COM.PROD. TECNOLOGI
SOC COMERCIAL NAHUM CORREA LTDA,"DISTRIBUIDORA DE ARTICULOS DE LIBRERIA, OFICINA Y BAZAR"
SOC COMERCIAL SANTA SOLEDAD LTDA,ESTACION DE SERVICIO
SOC CONCESIONARIA AUTOPISTA CENTRAL S A,CONCESION AUTOPISTAS
SOC DE INVERSIONES EL OLIVO SPA,VENTA AL POR MENOR DE COMBUSTIBLE PARA AUTOMOTORES
SOC DE TRANSPORTES STEUER HOLMGREN Y COM,ESTACION
SOC HOTELERA BIDASOA SPA,HOTEL Y TRANSPORTE A TURISTAS
SOC INDUSTRIAL DE MOTORES SIMOTOR S A,RECTIFICACION DE MOTORES Y MAESTRANZA
SOC INMOBILIARIA PROGRESO ROLANDO EGON ACUÑA SCHEEL E.I.R.L.,INMOBILIARIA
SOC ROBERTO AICHELE Y CIA LIMITADA,"ASESORIASINTEGRALES AGROPECUARIAS,COMISIONISTA"
SOC. COMERC. DE REPUESTOS S.P.A.,VTA. ACCESORIOS Y REPUESTOS AUTOM.
SOC. COMERC. EDOW LTDA. 3101597,EST. DE SERVICIO. VTA. REP. Y LUB. DE VEHICULOS. VTA DE GAS.
SOCIEDAD AGUAS BUENAS SPA,VENTA AL POR MENOR DE ARTICULOS DE FERRETERIA Y MATERIALES DE CONSTRUCION
SOCIEDAD AUSTRAL DE ELECTRICIDAD SA,Distribución de Energía Eléctrica
SOCIEDAD AUTOMOTRIZ TODOESCAPE LIMITADA,"TALLER MECANICO DESABOLLADURA, PINTURA COMPRA VENTA VEHICULOS REPUESTO ARRIENDO"
SOCIEDAD BETTENHAUSER Y HEUFEMANN LIMITADA,FABRICA DE CHOCOLATES CONFITES PASTELES PAN Y ROTISERIA
SOCIEDAD COMERCIAL ALCAPLUS LTDA,COMERCIALIZACION INSUMOS DE COMPUTACION
SOCIEDAD COMERCIAL HOFFMANN LTDA,FERRETERIA
SOCIEDAD COMERCIAL SERLAC CHILE S.A.,"COM. EQ.ORDEÑA,VTA.ART.ASEO Y DETER,ASESORIA"
SOCIEDAD COMERCIAL SOFLO SPA,COMERCIALIZACIÓN E INSTALACION DE PRODUCTOS Y ARTICULOS AGRICOLAS
SOCIEDAD COMERCIAL TUCHIE JADURI LIMITAD,FERRETERIA
SOCIEDAD COMERCIAL VITACYCLE LIMITADA,"COMERCIALIZACION, TRANSPORTE Y RECICLAJE DE RESIDUOS INDUSTRIALES"
SOCIEDAD CONCESIONARIA COSTANERA NORTE S.A.,"Construcción, Conservación y Explotación de Obra Pública Fiscal"
SOCIEDAD CONCESIONARIA RUTA 5 CHILLAN-COLLIPULLI S.A.,CONCESION DE CARRETERAS Y CONSTRUCCION
SOCIEDAD CONCESIONARIA RUTA 5 TALCA-CHILLAN S.A.,SERVICIOS PRESTADOS POR CONCESIONARIOS DE CARRETERAS
SOCIEDAD CONCESIONARIA VESPUCIO NORTE EXPRESS S.A.,CONSTRUCCION DE CARRETERAS Y LINEAS DE FERROCARRIL
SOCIEDAD CONCESIONARIA VESPUCIO ORIENTE S.A.,Servicios prestados por concesionarios de carreteras
SOCIEDAD DE INVERSIONES MVM SPA,"C.OBRAS MEN,INST.ELECT.BAJA,ALTA TENS,VTA.MAT.ELEC.Y CAM.SEG"
SOCIEDAD DE SERVICIOS INTEGRALES SICAV SPA,"SERV.FORESTALES,ASESORIAS,ARRIENDO VEHICULOS-ANDAMIOS,CONTRATISTA"
SOCIEDAD DE TRANSPORTES MANCILLA NEUMANN LIMITADA,TRANSPORTE DE CARGA POR CARRETERA
SOCIEDAD DE TRANSPORTES Y ARRIENDO DE EQUIPOS MENDOZA Y BASTIDAS LIMIT,"TRANSPORTE DE CARGA,SERV. ARRIENDO MAQ.-EQUIPOS Y VEHICULOS."
SOCIEDAD DE TRANSPORTES Y SERVICIOS MECÁNICOS MAY LIMITADA,SERV.GRUAS-MEC.EN TERRENO-TRANSP.CARGA MENOR-ARRIENDO VEHICULOS
SOCIEDAD HIDRO FOSAS SPA,LIMP Y MANTEN FOSAS SEPTICAS EVACUA AGUAS SERV Y DESECHOS NO PELIGROSO
SOCIEDAD IBACACHE-VINOLY LIMITADA,"VTA.MOTOS,ACCESORIOS,REPARACION Y ARRIENDO MOTOCICLETAS Y CUATRIMOTOS"
SOCIEDAD INVERSIONES SERCO SPA,COMPRA VENTA Y COMERCIALIZACION CONTAINERS Y EQUIPOS EN GENERAL
SOCIEDAD PANEBRA E HIJOS SPA,ACTIVIDADES DE RESTAURANTES Y DE SERVICIO MOVIL DE COMIDAS
SOCIEDAD PRESTACIÓN DE SERVICIOS AGRÍCOLA MYO SPA,PRESTACIÓN DE SERVICIO AGRÍCOLA
SOCIEDAD TOROYO LTDA,ACTIVIDADES DE APOYO A LA AGRICULTURA
SOCIEDAD TRANSPORTES VIDAL LEMUS LIMITADA,SERVICIOS TRANSPORTE DE CARGA
SOCIEDAD TURISTICA SOUTH AND DESERT LIMITADA,AGENCIA Y ORGANIZADORA DE VIAJES VENTA Y COMPRA DE ARTICULOS DEPORTIVOS
SODIMAC S.A.,DISTRIBUIDORA DE MATERIALES DE CONSTRUCCION
SONDAJES PERFOMAQ SA,"Perforación de Pozos Profundos, Const. e Instalaciones, Bombas para Agua, Estanq"
STARLINK CHILE SPA,Comunicaciones por satélite
SURAC,Importacion y Venta de Repuestos
TALBOT HOTELS S A,SERVICIOS DE ALOJAMIENTOS HOTELEROS A EXTRANJEROS Y NACIONALES
TALLER JORQUERA SPA,DISEÑO Y FABRICACIÓN DE MUEBLES - OBRAS MENORES Y CONSTRUCCION
TATTERSALL AGROINSUMOS S.A.,Distribución de Insumos y Maquinaria Agrícola
TATTERSALL GANADO S.A.,Remates y comercialización de ganado y bienes muebles
TELEFÓNICA MÓVILES CHILE S.A.,Comunicaciones
THAMYKI SPA,"HOTEL Y CABANA,LAVANDERIA, VNTA DE BEBIDAS ALCOHOLICAS Y TOUR OPERADOR"
TODO CONSTRUCCION SUR SPA,VENTA AL POR MENOR DE ARTICULOS DE FERRETERIA Y MATERIALES DE CONSTRUCCION
TOPOGRAFIA SATELITAL INGENIERIA SPA,SERVICIO TOPOGRAFIA. Y GEOMENSURA.
TOPOGRAFÍA DANIEL ALEJANDRO HERRERA GUTIERREZ E.I.R.L.,"CONSULTORA Y SERVICIOS TOPOGRAFICOS, OBRAS MENORES EN CONSTRUCCION"
TRANSPORTES BRAULIO ERARDO SAN MARTÍN HENRÍQUEZ E.I.R.L.,SERVICIO TURISMO
TRANSPORTES CRUZ DEL SUR LIMITADA,"TRANSP.DE PASAJEROS,SERV.DE CARGA Y ENCOMIENDAS"
TRANSPORTES EL TREBOL SPA,TRANSPORTE DE CARGA POR CARRETERA
TRANSPORTES G & G SPA,COMPRA VTA DE RIPIO.COMPRA VENTA DE MADERA
TRANSPORTES JORGE ALEJANDRO MARTÌNEZ GUZMÀN E.I.R.L.,"TRANS.DE CARGA POR CARRETERA,DISTRIBUCION-VENTA DE HORMIGONES Y ARIDOS"
TRANSPORTES LOS VOLCANES SPA,TRANSPORTE DE CARGA
TRANSPORTES OJEDA SPA,TRANSPORTE DE CARGA POR CARRTERA
TRANSPORTES PINILLA SPA,TRANSPORTES DE CARGA
TRANSPORTES Y GRÚAS CACERES SPA,"OTROS TIPOS DE TRANSPORTE POR VIA TERRESTRE, ALQUILER DE VEHICULOS AUT"
TRANSPORTES Y SERVICIOS MECANICOS DUCK SPA,SERVICIOS MECANICOS Y TRANSPORTE
TUV RHEINLAND ANDINO S.A,Servicio de Revision Tecnica de Vehiculo
VENTAS DE REPUESTOS DAVID BASTIAS CHAMORRO E.I.R.L.,"VENTAS DE REPUESTOS PARA LA INDUSTRIA, ROPA Y ZAPATOS"
VERISURE CHILE SPA,SERVICIOS INTEGRALES DE SEGURIDAD
VICTOR ALFONSO PATINO SAN MARTIN,HOJALATERIA Y REPARACIONES DE COCINAS Y COMBUSTIONES A LEÑA
VICTOR VERA VIVEROS,RESTAURANT
VIMAR SPA,COMERCIALIZACION DE ARIDOS Y MOVIMIENTO DE TIERRA
VULCANIZACIÓN NONTUELÁ SPA,VULCANIZACIÓN Y SERVICIOS DE MECÁNICA RÁPIDA - VENTA DE REPUESTOS- LUB
WALDEMAR ORLANDO VARGAS CARDENAS,INST POZOS DE AGUA MANT Y REPUESTOS INST ELECT BOMBE
WALTER ERNESTO MATAMALA MANCILLA,SERVICIOS DE MECANICA Y SOLDADURAS
YOAM MARCELO ORTIZ GUTIERREZ,ARRIENDO DE VEHICULOSOBRAS MENORES EN CONSTRUCCION
ZERO CORP SPA,REVALORIZACION DE RESIDUIOS INDUSTRIALES O DOMICILIARIOS
